"Plot Title: 10767837"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767837, SEN S/N: 10767837)","Coupler Detached (LGR S/N: 10767837)","Coupler Attached (LGR S/N: 10767837)","Host Connected (LGR S/N: 10767837)","Stopped (LGR S/N: 10767837)","End Of File (LGR S/N: 10767837)"
333,08/16/15 03:06:52 PM,36.842,,,,,
334,08/16/15 04:06:52 PM,36.169,,,,,
335,08/16/15 05:06:52 PM,35.298,,,,,
336,08/16/15 06:06:52 PM,34.713,,,,,
337,08/16/15 07:06:52 PM,34.516,,,,,
338,08/16/15 08:06:52 PM,34.419,,,,,
339,08/16/15 09:06:52 PM,34.320,,,,,
340,08/16/15 10:06:52 PM,34.223,,,,,
341,08/16/15 11:06:52 PM,34.320,,,,,
342,08/17/15 12:06:52 AM,34.320,,,,,
343,08/17/15 01:06:52 AM,34.174,,,,,
344,08/17/15 02:06:52 AM,34.174,,,,,
345,08/17/15 03:06:52 AM,34.174,,,,,
346,08/17/15 04:06:52 AM,34.075,,,,,
347,08/17/15 05:06:52 AM,33.978,,,,,
348,08/17/15 06:06:52 AM,33.978,,,,,
349,08/17/15 07:06:52 AM,33.879,,,,,
350,08/17/15 08:06:52 AM,33.879,,,,,
351,08/17/15 09:06:52 AM,35.395,,,,,
352,08/17/15 10:06:52 AM,37.130,,,,,
353,08/17/15 11:06:52 AM,37.846,,,,,
354,08/17/15 12:06:52 PM,37.989,,,,,
355,08/17/15 01:06:52 PM,37.609,,,,,
356,08/17/15 02:06:52 PM,37.416,,,,,
357,08/17/15 03:06:52 PM,36.698,,,,,
358,08/17/15 04:06:52 PM,36.459,,,,,
359,08/17/15 05:06:52 PM,35.346,,,,,
360,08/17/15 06:06:52 PM,35.055,,,,,
361,08/17/15 07:06:52 PM,34.907,,,,,
362,08/17/15 08:06:52 PM,34.615,,,,,
363,08/17/15 09:06:52 PM,34.419,,,,,
364,08/17/15 10:06:52 PM,34.124,,,,,
365,08/17/15 11:06:52 PM,34.124,,,,,
366,08/18/15 12:06:52 AM,34.075,,,,,
367,08/18/15 01:06:52 AM,33.928,,,,,
368,08/18/15 02:06:52 AM,33.831,,,,,
369,08/18/15 03:06:52 AM,33.780,,,,,
370,08/18/15 04:06:52 AM,33.732,,,,,
371,08/18/15 05:06:52 AM,33.633,,,,,
372,08/18/15 06:06:52 AM,33.584,,,,,
373,08/18/15 07:06:52 AM,33.633,,,,,
374,08/18/15 08:06:52 AM,33.928,,,,,
375,08/18/15 09:06:52 AM,35.200,,,,,
376,08/18/15 10:06:52 AM,36.651,,,,,
377,08/18/15 11:06:52 AM,37.416,,,,,
378,08/18/15 12:06:52 PM,36.313,,,,,
379,08/18/15 01:06:52 PM,36.313,,,,,
380,08/18/15 02:06:52 PM,35.733,,,,,
381,08/18/15 03:06:52 PM,36.410,,,,,
382,08/18/15 04:06:52 PM,35.443,,,,,
383,08/18/15 05:06:52 PM,35.685,,,,,
384,08/18/15 06:06:52 PM,35.249,,,,,
385,08/18/15 07:06:52 PM,34.957,,,,,
386,08/18/15 08:06:52 PM,34.664,,,,,
387,08/18/15 09:06:52 PM,34.419,,,,,
388,08/18/15 10:06:52 PM,34.320,,,,,
389,08/18/15 11:06:52 PM,34.174,,,,,
390,08/19/15 12:06:52 AM,34.075,,,,,
391,08/19/15 01:06:52 AM,33.978,,,,,
392,08/19/15 02:06:52 AM,33.978,,,,,
