Serial Number:20425024 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*F)",Button Down,Button Up,Host Connect,EOF
7/31/18 17:45,39.87, , , , 
7/31/18 18:00,42.42, , , , 
7/31/18 18:15,50.84, , , , 
7/31/18 18:30,50.22, , , , 
7/31/18 18:45,45.89, , , , 
7/31/18 19:00,42.73, , , , 
7/31/18 19:15,40.18, , , , 
7/31/18 19:30,38.33, , , , 
7/31/18 19:45,37.48, , , , 
7/31/18 20:00,36.09, , , , 
7/31/18 20:15,34.77, , , , 
7/31/18 20:30,36.78, , , , 
7/31/18 20:45,35.39, , , , 
7/31/18 21:00,34, , , , 
7/31/18 21:15,32.84, , , , 
7/31/18 21:30,31.84, , , , 
7/31/18 21:45,31.07, , , , 
7/31/18 22:00,30.3, , , , 
7/31/18 22:15,29.68, , , , 
7/31/18 22:30,29.76, , , , 
7/31/18 22:45,30.68, , , , 
7/31/18 23:00,30.61, , , , 
7/31/18 23:15,30.22, , , , 
7/31/18 23:30,29.91, , , , 
7/31/18 23:45,32.15, , , , 
8/1/18 0:00,33.62, , , , 
8/1/18 0:15,33.23, , , , 
8/1/18 0:30,32.23, , , , 
8/1/18 0:45,31.45, , , , 
8/1/18 1:00,30.76, , , , 
8/1/18 1:15,30.06, , , , 
8/1/18 1:30,29.6, , , , 
8/1/18 1:45,31.3, , , , 
8/1/18 2:00,32.84, , , , 
8/1/18 2:15,32.46, , , , 
8/1/18 2:30,31.3, , , , 
8/1/18 2:45,30.45, , , , 
8/1/18 3:00,29.68, , , , 
8/1/18 3:15,30.22, , , , 
8/1/18 3:30,32.07, , , , 
8/1/18 3:45,33.15, , , , 
8/1/18 4:00,31.84, , , , 
8/1/18 4:15,30.68, , , , 
8/1/18 4:30,29.83, , , , 
8/1/18 4:45,29.91, , , , 
8/1/18 5:00,31.76, , , , 
8/1/18 5:15,32.92, , , , 
8/1/18 5:30,31.53, , , , 
8/1/18 5:45,30.45, , , , 
8/1/18 6:00,29.52, , , , 
8/1/18 6:15,30.45, , , , 
8/1/18 6:30,32.07, , , , 
8/1/18 6:45,32.61, , , , 
8/1/18 7:00,31.22, , , , 
8/1/18 7:15,30.22, , , , 
8/1/18 7:30,29.29, , , , 
8/1/18 7:45,30.68, , , , 
8/1/18 8:00,32.15, , , , 
8/1/18 8:15,32.77, , , , 
8/1/18 8:30,31.38, , , , 
8/1/18 8:45,30.22, , , , 
8/1/18 9:00,29.29, , , , 
8/1/18 9:15,30.37, , , , 
8/1/18 9:30,31.92, , , , 
8/1/18 9:45,32.23, , , , 
8/1/18 10:00,30.76, , , , 
8/1/18 10:15,29.76, , , , 
8/1/18 10:30,29.06, , , , 
8/1/18 10:45,31.07, , , , 
8/1/18 11:00,32.46, , , , 
8/1/18 11:15,31.53, , , , 
8/1/18 11:30,30.3, , , , 
8/1/18 11:45,29.45, , , , 
8/1/18 12:00,29.29, , , , 
8/1/18 12:15,31.3, , , , 
8/1/18 12:30,32.38, , , , 
8/1/18 12:45,31.15, , , , 
8/1/18 13:00,29.99, , , , 
8/1/18 13:15,29.29, , , , 
8/1/18 13:30,28.6, , , , 
8/1/18 13:45,30.3, , , , 
8/1/18 14:00,31.84, , , , 
8/1/18 14:15,31.15, , , , 
8/1/18 14:30,31.38, , , , 
